ticker,industry
AAPL,36
MSFT,34
GOOGL,34
AMZN,42
NVDA,36
META,34
TSLA,23
LLY,13
TSM,36
NVO,13
NOVO-B.CO,13
WMT,42
XOM,30
LVMUY,10
MC.PA,10
AVGO,36
JNJ,13
PG,9
005930.KS,36
NSRGY,2
ORCL,34
HD,42
CVX,30
MRK,13
ADBE,34
ABBV,13
TM,23
ASML,21
COST,42
KO,3
ASML.AS,21
LRLCY,9
PEP,4
SHEL,30
OR.PA,9
CSCO,35
FMX,3
BABA,34
ROG.SW,13
RHHBY,13
9988.HK,34
CRM,34
RMS.PA,10
AZN,13
MCD,43
NVS,13
ACN,34
NOVN.SW,13
LIN,14
NFLX,7
AMD,36
TMO,37
PFE,13
TMUS,32
ABT,12
TTE,30
TTE.PA,30
SAP,34
SAP.DE,34
NKE,10
INTC,36
DIS,32
VZ,32
BHP,28
COP,30
AMGN,13
DHR,37
PM,5
INTU,34
PDD,34
IBM,34
TXN,36
QCOM,36
UNP,40
CDI.PA,10
NOW,34
CAT,21
UPS,40
SPGI,34
UL,9
RTX,24
ULVR.L,9
BA,24
SNY,13
AMAT,21
SBUX,43
BUD,4
SAN.PA,13
LOW,42
LMT,26
ABI.BR,4
DE,21
AIR.PA,24
RIO,28
SONY,22
BP,30
6758.T,22
RIO.L,28
SYK,12
BMY,13
